---------------------------------------------------------------------------------------------------------------
Report log for 05-01-2017 for Unit ID 705392
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/05 11:48:34, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 1, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/05 11:49:52, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:1, SSN: 1, MSN: 2, Max X:-17, Max Y:14, Max Z:0, Start Speed:23, End Speed:17, Timer:1881
000: ? 2017/01/05 11:50:02, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 1, MSN: 3, Max X:-5, Max Y:-39, Max Z:0, Start Speed:21, End Speed:14, Timer:6544
000: ? 2017/01/05 11:50:37, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 1, MSN: 4, Max X:-5, Max Y:-45, Max Z:0, Start Speed:16, End Speed:12, Timer:7280
000: ? 2017/01/05 11:50:52, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 5, Max X:-29, Max Y:7, Max Z:0, Start Speed:40, End Speed:24, Timer:2084
000: ? 2017/01/05 11:50:55, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 6, Max X:-32, Max Y:-8, Max Z:0, Start Speed:24, End Speed:10, Timer:2683
000: ? 2017/01/05 11:51:07, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 1, MSN: 7, Max X:8, Max Y:-46, Max Z:0, Start Speed:14, End Speed:21, Timer:5041
000: ? 2017/01/05 11:53:39, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 8, Max X:-22, Max Y:-3, Max Z:0, Start Speed:36, End Speed:20, Timer:2916
000: ? 2017/01/05 11:55:34, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 9, Max X:-25, Max Y:0, Max Z:0, Start Speed:14, End Speed:1, Timer:2400
000: ? 2017/01/05 11:56:49, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (71), Strength:1, SSN: 1, MSN: 10, Max X:9, Max Y:-26, Max Z:0, Start Speed:23, End Speed:34, Timer:2800
000: ? 2017/01/05 12:13:12, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 11, Max X:-24, Max Y:9, Max Z:0, Start Speed:89, End Speed:82, Timer:1559
000: ? 2017/01/05 12:13:39, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Low Battery [5], SSN: 1, MSN: 12, Valid GPS Samples:1498, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 178, Max Voltage:0
